sample_id,metric,page,value,numeric_presence,scope,unit
000419.SZ:2023,assets,59,5231467869.21,True,consolidated,CNY yuan
000419.SZ:2023,current_liabilities,59,1147446952.60,True,consolidated,CNY yuan
000419.SZ:2023,liabilities,60,1880800375.45,True,consolidated,CNY yuan
000419.SZ:2023,equity,60,3350667493.76,True,consolidated,CNY yuan
000419.SZ:2023,revenue,62,1985326638.27,True,consolidated,CNY yuan
000419.SZ:2023,management_expense,62,294200240.25,True,consolidated,CNY yuan
000419.SZ:2023,operating_profit,63,227827546.49,True,consolidated,CNY yuan
000419.SZ:2023,net_profit,63,165500503.17,True,consolidated,CNY yuan
000419.SZ:2023,ocf,66,27990172.27,True,consolidated,CNY yuan
000501.SZ:2023,receivables,61,52577707.65,True,consolidated,CNY yuan
000501.SZ:2023,inventory,61,1910939653.49,True,consolidated,CNY yuan
000501.SZ:2023,current_assets,61,5206645898.53,True,consolidated,CNY yuan
000501.SZ:2023,assets,62,30743634724.27,True,consolidated,CNY yuan
000501.SZ:2023,current_liabilities,62,13557534706.78,True,consolidated,CNY yuan
000501.SZ:2023,liabilities,63,19931046041.92,True,consolidated,CNY yuan
000501.SZ:2023,equity,63,10812588682.35,True,consolidated,CNY yuan
000501.SZ:2023,revenue,65,6337155540.05,True,consolidated,CNY yuan
000501.SZ:2023,management_expense,66,222919746.87,True,consolidated,CNY yuan
000501.SZ:2023,operating_profit,66,449612643.21,True,consolidated,CNY yuan
000501.SZ:2023,net_profit,66,304704941.93,True,consolidated,CNY yuan
000501.SZ:2023,ocf,68,623512743.19,True,consolidated,CNY yuan
000504.SZ:2023,receivables,83,158759054.35,True,consolidated,CNY yuan
000504.SZ:2023,inventory,83,4500707.82,True,consolidated,CNY yuan
000504.SZ:2023,current_assets,83,416235973.16,True,consolidated,CNY yuan
000504.SZ:2023,assets,83,553064727.36,True,consolidated,CNY yuan
000504.SZ:2023,current_liabilities,84,455151664.18,True,consolidated,CNY yuan
000504.SZ:2023,liabilities,84,473180527.49,True,consolidated,CNY yuan
000504.SZ:2023,equity,85,79884199.87,True,consolidated,CNY yuan
000504.SZ:2023,revenue,87,200345457.02,True,consolidated,CNY yuan
000504.SZ:2023,management_expense,87,53603083.01,True,consolidated,CNY yuan
000504.SZ:2023,operating_profit,88,-26149344.05,True,consolidated,CNY yuan
000504.SZ:2023,net_profit,88,-29761420.25,True,consolidated,CNY yuan
000504.SZ:2023,ocf,91,166381243.04,True,consolidated,CNY yuan
000533.SZ:2023,receivables,67,1068303005.75,True,consolidated,CNY yuan
000533.SZ:2023,inventory,67,305283217.35,True,consolidated,CNY yuan
000533.SZ:2023,current_assets,67,1956294665.73,True,consolidated,CNY yuan
000533.SZ:2023,assets,68,2551363400.47,True,consolidated,CNY yuan
000533.SZ:2023,current_liabilities,68,1481620706.70,True,consolidated,CNY yuan
000533.SZ:2023,liabilities,69,1697494083.92,True,consolidated,CNY yuan
000533.SZ:2023,equity,69,853869316.55,True,consolidated,CNY yuan
000533.SZ:2023,revenue,71,1773768069.93,True,consolidated,CNY yuan
000533.SZ:2023,management_expense,72,119636439.82,True,consolidated,CNY yuan
000533.SZ:2023,operating_profit,72,38481083.33,True,consolidated,CNY yuan
000533.SZ:2023,net_profit,72,51543677.58,True,consolidated,CNY yuan
000533.SZ:2023,ocf,75,92072366.13,True,consolidated,CNY yuan
000534.SZ:2023,receivables,81,203096807.93,True,consolidated,CNY yuan
000534.SZ:2023,inventory,81,118834748.05,True,consolidated,CNY yuan
000534.SZ:2023,current_assets,81,688734739.67,True,consolidated,CNY yuan
000534.SZ:2023,assets,82,2434804891.48,True,consolidated,CNY yuan
000534.SZ:2023,current_liabilities,83,595992771.38,True,consolidated,CNY yuan
000534.SZ:2023,liabilities,83,1194624260.30,True,consolidated,CNY yuan
000534.SZ:2023,equity,84,1240180631.18,True,consolidated,CNY yuan
000534.SZ:2023,revenue,88,793843031.64,True,consolidated,CNY yuan
000534.SZ:2023,management_expense,88,130438842.88,True,consolidated,CNY yuan
000534.SZ:2023,operating_profit,89,134768909.37,True,consolidated,CNY yuan
000534.SZ:2023,net_profit,89,105561351.74,True,consolidated,CNY yuan
000534.SZ:2023,ocf,93,194886261.83,True,consolidated,CNY yuan
000545.SZ:2023,receivables,76,128448022.92,True,consolidated,CNY yuan
000545.SZ:2023,inventory,76,290060667.30,True,consolidated,CNY yuan
000545.SZ:2023,current_assets,76,1558804417.75,True,consolidated,CNY yuan
000545.SZ:2023,assets,77,3084138877.39,True,consolidated,CNY yuan
000545.SZ:2023,current_liabilities,77,1178309826.05,True,consolidated,CNY yuan
000545.SZ:2023,liabilities,78,1207211806.81,True,consolidated,CNY yuan
000545.SZ:2023,equity,78,1876927070.58,True,consolidated,CNY yuan
000545.SZ:2023,revenue,80,2509996539.64,True,consolidated,CNY yuan
000545.SZ:2023,management_expense,81,90558661.06,True,consolidated,CNY yuan
000545.SZ:2023,operating_profit,81,-166309680.56,True,consolidated,CNY yuan
000545.SZ:2023,net_profit,81,-146076208.32,True,consolidated,CNY yuan
000545.SZ:2023,ocf,84,32401116.92,True,consolidated,CNY yuan
000555.SZ:2023,receivables,123,2720335964.13,True,consolidated,CNY yuan
000555.SZ:2023,inventory,123,2364005873.60,True,consolidated,CNY yuan
000555.SZ:2023,current_assets,123,9737084374.25,True,consolidated,CNY yuan
000555.SZ:2023,assets,124,12439806587.42,True,consolidated,CNY yuan
000555.SZ:2023,current_liabilities,125,6155151780.57,True,consolidated,CNY yuan
000555.SZ:2023,liabilities,126,6305807855.83,True,consolidated,CNY yuan
000555.SZ:2023,equity,126,6133998731.59,True,consolidated,CNY yuan
000555.SZ:2023,revenue,129,11999256671.68,True,consolidated,CNY yuan
000555.SZ:2023,management_expense,130,266438612.12,True,consolidated,CNY yuan
000555.SZ:2023,operating_profit,130,184688133.77,True,consolidated,CNY yuan
000555.SZ:2023,net_profit,130,206442224.23,True,consolidated,CNY yuan
000555.SZ:2023,ocf,134,201251232.29,True,consolidated,CNY yuan
000557.SZ:2023,receivables,127,226797859.84,True,consolidated,CNY yuan
000557.SZ:2023,inventory,127,45930939.83,True,consolidated,CNY yuan
000557.SZ:2023,current_assets,127,2291031414.67,True,consolidated,CNY yuan
000557.SZ:2023,assets,127,6131502404.49,True,consolidated,CNY yuan
000557.SZ:2023,current_liabilities,128,487397806.92,True,consolidated,CNY yuan
000557.SZ:2023,liabilities,128,528760613.21,True,consolidated,CNY yuan
000557.SZ:2023,equity,128,5602741791.28,True,consolidated,CNY yuan
000557.SZ:2023,revenue,131,1785385753.15,True,consolidated,CNY yuan
000557.SZ:2023,management_expense,131,74821863.36,True,consolidated,CNY yuan
000557.SZ:2023,operating_profit,131,331361783.94,True,consolidated,CNY yuan
000557.SZ:2023,net_profit,132,237975763.34,True,consolidated,CNY yuan
000557.SZ:2023,ocf,134,548842667.34,True,consolidated,CNY yuan
000576.SZ:2023,receivables,92,151471551.63,True,consolidated,CNY yuan
000576.SZ:2023,inventory,92,159144000.01,True,consolidated,CNY yuan
000576.SZ:2023,current_assets,92,911602274.33,True,consolidated,CNY yuan
000576.SZ:2023,assets,93,2006682867.51,True,consolidated,CNY yuan
000576.SZ:2023,current_liabilities,94,152457853.00,True,consolidated,CNY yuan
000576.SZ:2023,liabilities,94,217706059.00,True,consolidated,CNY yuan
000576.SZ:2023,equity,94,1788976808.51,True,consolidated,CNY yuan
000576.SZ:2023,revenue,97,445381991.65,True,consolidated,CNY yuan
000576.SZ:2023,management_expense,97,60715991.69,True,consolidated,CNY yuan
000576.SZ:2023,operating_profit,98,112926666.52,True,consolidated,CNY yuan
000576.SZ:2023,net_profit,98,118689178.63,True,consolidated,CNY yuan
000576.SZ:2023,ocf,100,-53066348.50,True,consolidated,CNY yuan
000581.SZ:2023,receivables,73,3127490177.25,True,consolidated,CNY yuan
000581.SZ:2023,inventory,73,2283119656.27,True,consolidated,CNY yuan
000581.SZ:2023,current_assets,73,14362288800.21,True,consolidated,CNY yuan
000581.SZ:2023,assets,74,28528913065.01,True,consolidated,CNY yuan
000581.SZ:2023,current_liabilities,74,9366359013.40,True,consolidated,CNY yuan
000581.SZ:2023,liabilities,75,10094206215.63,True,consolidated,CNY yuan
000581.SZ:2023,equity,75,18434706849.38,True,consolidated,CNY yuan
000581.SZ:2023,revenue,78,12729634917.03,True,consolidated,CNY yuan
000581.SZ:2023,management_expense,78,586386474.32,True,consolidated,CNY yuan
000581.SZ:2023,operating_profit,78,181626325.36,True,consolidated,CNY yuan
000581.SZ:2023,net_profit,78,190946008.25,True,consolidated,CNY yuan
000581.SZ:2023,ocf,81,-2575742649.43,True,consolidated,CNY yuan
000589.SZ:2023,receivables,93,1354418996.05,True,consolidated,CNY yuan
000589.SZ:2023,inventory,93,1255170349.94,True,consolidated,CNY yuan
000589.SZ:2023,current_assets,93,7977229043.45,True,consolidated,CNY yuan
000589.SZ:2023,assets,94,15761578522.54,True,consolidated,CNY yuan
000589.SZ:2023,current_liabilities,95,6077243119.39,True,consolidated,CNY yuan
