sample_id,industry_prior_code,industry_public_date,industry_source_url,industry_source_page,requirements,label,document_id,report_url,report_disclosed_date,mda_page,original_classification_row,annual_pdf_sha256,original_classification_row_found,annual_pdf_matches_archive,status,exact_2023_code_certified
002141.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,53,historical_industry,1,1216414253,https://static.cninfo.com.cn/finalpage/2023-04-15/1216414253.PDF,2023-04-15,11,002141 贤丰控股,5deea900805917a47de337dcbcfd8f055c86b616a9a1068112366cf921da367e,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002154.SZ:2023,C18,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,9,historical_industry,0,1216417716,https://static.cninfo.com.cn/finalpage/2023-04-15/1216417716.PDF,2023-04-15,10,002154 报喜鸟,0ec8d17c201f0b742af57dc27bba91c856b2b96b623c12c9c9dc20824c05b162,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002160.SZ:2023,C32,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,33,historical_industry,0,1216686456,https://static.cninfo.com.cn/finalpage/2023-04-29/1216686456.PDF,2023-04-29,10,002160 常铝股份,f488442d095fe53493324ea0d3393f97ae69e3ff33ead9aa26a9c5f3b70026b3,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002169.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,53,historical_industry,0,1216696192,https://static.cninfo.com.cn/finalpage/2023-04-29/1216696192.PDF,2023-04-29,13,002169 智光电气,ef5557af273aa45638982d7e87b358cd97335fea060fa4621b6d6cab95e544cb,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002181.SZ:2023,L72,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,100,historical_industry,0,1216358541,https://static.cninfo.com.cn/finalpage/2023-04-08/1216358541.PDF,2023-04-08,12,002181 粤传媒,d096482671dfd975528e2ce927d8c79d2b08c8ef29d9798f8cae82077e4b0b46,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002185.SZ:2023,C39,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,61,historical_industry,0,1216235113,https://static.cninfo.com.cn/finalpage/2023-03-28/1216235113.PDF,2023-03-28,12,002185 华天科技,7e1246dd8674564460b5bdfc0be091255e57ae98ffff5cba3ec965249f6b1922,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002198.SZ:2023,C27,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,21,historical_industry,0,1216689485,https://static.cninfo.com.cn/finalpage/2023-04-29/1216689485.PDF,2023-04-29,10,002198 嘉应制药,30612c6106ecd9afd1915b11f696bb57f1527613f139e537e08a742820ee6eec,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002212.SZ:2023,I65,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,88,historical_industry,0,1216527018,https://static.cninfo.com.cn/finalpage/2023-04-22/1216527018.PDF,2023-04-22,12,002212 天融信,edd7379226778ef83be2f3b5efce62e5d912880ccb739626977bb75ddeed9423,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002223.SZ:2023,C35,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,41,historical_industry,0,1216658782,https://static.cninfo.com.cn/finalpage/2023-04-28/1216658782.PDF,2023-04-28,11,002223 鱼跃医疗,bde07e3ab5d2aae894f9e562c682958c1bdaa1efc2a4c1b9e5c3d72d92614601,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002224.SZ:2023,C29,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,27,historical_industry,0,1216659774,https://static.cninfo.com.cn/finalpage/2023-04-28/1216659774.PDF,2023-04-28,11,002224 三力士,d56d02f3e009e4a96d7ba43d7b165352c49a2c5ccdc0324c9df64a8b3515ad78,True,True,source_chain_recovered; current_sector_adjudication_pending,False
