Code,Valid n,Mean,SD,Median
L/A,503,0.430,0.212,0.404
CR,503,2.096,1.642,1.585
QR,503,1.697,1.531,1.221
NP/A,503,0.032,0.085,0.032
NP/E,503,0.019,0.703,0.059
OM,503,0.064,0.384,0.085
NM,503,0.049,0.359,0.069
AR/A,503,0.105,0.096,0.080
INV/A,503,0.121,0.130,0.089
OCF/A,503,0.057,0.080,0.054
OCF/CL,503,0.260,0.493,0.191
ME/R,503,0.099,0.147,0.071
