Code,Definition
L/A,Liabilities / assets
CR,Current assets / current liabilities
QR,(Current assets − inventory) / current liabilities
NP/A,Consolidated net profit / year-end assets
NP/E,Consolidated net profit / year-end equity
OM,Operating profit / revenue
NM,Consolidated net profit / revenue
AR/A,Accounts receivable / assets
INV/A,Inventory / assets
OCF/A,Operating cash flow / assets
OCF/CL,Operating cash flow / current liabilities
ME/R,Management expenses / revenue
