Model,AP mean ± SD,AP 95% CI,ROC AUC,Recall
L2 logistic,0.2177,"[0.0602, 0.4698]",0.7570,0.1818
Financial neural,0.3798 ± 0.0100,"[0.1545, 0.6574]",0.8863,0.1212
Text neural,0.0579 ± 0.0055,"[0.0300, 0.1421]",0.4494,0.3030
Concatenation,0.3685 ± 0.0041,"[0.1492, 0.6342]",0.8896,0.1212
Cross-attention,0.3547 ± 0.0078,"[0.1293, 0.6213]",0.8721,0.1212
