Model,5% budget,10% budget,20% budget
L2 logistic,0.1818 / 0.1818,0.1364 / 0.2727,0.1364 / 0.5455
Financial neural,0.3636 / 0.3636,0.1970 / 0.3939,0.2045 / 0.8182
Text neural,0.0606 / 0.0606,0.0455 / 0.0909,0.0303 / 0.1212
Concatenation,0.3333 / 0.3333,0.2121 / 0.4242,0.2045 / 0.8182
Cross-attention,0.2727 / 0.2727,0.1818 / 0.3636,0.1970 / 0.7879
