sample_id,firm_id,origin,industry_status,industry_code,industry_public_date,industry_source_page,industry_source_url,baseline_st_name_evidence,baseline_st,st_source_url,st_source_public_date,baseline_quarter,baseline_audit,baseline_status,available_financial_facts,annual_missing,quarterly_missing,completeness_status,screening_status,analytical_eligible
000021.SZ:2018,000021.SZ,2018-05-01,pass_preorigin_classification,C39,2018-01-19,46,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000021.SZ:2019,000021.SZ,2019-05-01,pass_preorigin_classification,C39,2019-04-19,48,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000021.SZ:2020,000021.SZ,2020-05-01,pass_preorigin_classification,C39,2020-04-14,50,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000021.SZ:2021,000021.SZ,2021-05-01,pass_preorigin_classification,C39,2021-04-14,55,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000021.SZ:2022,000021.SZ,2022-05-01,pass_preorigin_classification,C39,2021-11-10,59,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000021.SZ:2023,000021.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000021.SZ:2024,000021.SZ,2024-05-01,pass_preorigin_classification,C39,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000021.SZ:2025,000021.SZ,2025-05-01,pass_preorigin_classification,C39,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2017,000027.SZ,2017-05-01,pass_preorigin_classification,D44,2017-02-16,46,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2018,000027.SZ,2018-05-01,pass_preorigin_classification,D44,2018-01-19,56,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2019,000027.SZ,2019-05-01,pass_preorigin_classification,D44,2019-04-19,57,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2020,000027.SZ,2020-05-01,pass_preorigin_classification,D44,2020-04-14,61,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2021,000027.SZ,2021-05-01,pass_preorigin_classification,D44,2021-04-14,68,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2022,000027.SZ,2022-05-01,pass_preorigin_classification,D44,2021-11-10,73,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2023,000027.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2024,000027.SZ,2024-05-01,pass_preorigin_classification,D44,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000027.SZ:2025,000027.SZ,2025-05-01,pass_preorigin_classification,D44,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2017,000031.SZ,2017-05-01,pass_preorigin_classification,K70,2017-02-16,63,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2018,000031.SZ,2018-05-01,pass_preorigin_classification,K70,2018-01-19,75,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2019,000031.SZ,2019-05-01,pass_preorigin_classification,K70,2019-04-19,78,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2020,000031.SZ,2020-05-01,pass_preorigin_classification,K70,2020-04-14,82,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2021,000031.SZ,2021-05-01,pass_preorigin_classification,K70,2021-04-14,91,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000031.SZ:2022,000031.SZ,2022-05-01,pass_preorigin_classification,K70,2021-11-10,97,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
